transaction_id,order_id,customer_id,invoice_date,due_date,amount,payment_date,payment_method,status,department,currency
FTdb136435,SO74463da3,C967d50a7,2024-01-10,2024-03-10,514.91,2024-04-09,Überweisung,Bezahlt,Produktion,EUR
FT5b956e1e,SO500e91ef,Caa20bb87,2024-07-10,2024-08-09,13224.46,2024-08-14,Lastschrift,Bezahlt,HR,EUR
FTb3548899,SO79d3c1a2,C3a861bec,2023-08-19,2023-08-18,2899.3,2023-09-02,Kreditkarte,Bezahlt,Produktion,EUR
FT625eef70,SO7dc2686b,Cfa474de8,2023-10-17,2023-11-16,12883.62,2023-11-26,Lastschrift,Bezahlt,Einkauf,EUR
FT005e69f9,SOfc039f97,Cec472c61,2023-05-30,2023-05-30,4114.32,2023-06-14,Überweisung,Bezahlt,HR,EUR
FT7db4f4c4,SO8e194864,C275f50b1,2024-09-02,2024-10-02,26817.0,2024-10-02,Überweisung,Bezahlt,Vertrieb,EUR
FT682b8121,SO33ca7d1b,C476ce152,2023-03-08,2023-04-22,6123.18,2023-05-22,Lastschrift,Bezahlt,Finanzen,EUR
FTca4cfb64,SO451ba8ee,Cd6f978c2,2024-03-10,2024-04-09,407.61,2024-04-19,Kreditkarte,Bezahlt,IT,EUR
FT5f7cee57,SO39b2ece6,C4420150f,2023-05-12,2023-07-11,4192.11,2023-07-16,Lastschrift,Bezahlt,HR,EUR
FT87f6e61c,SO39b2ece6,C4420150f,2023-05-12,2023-07-11,6588.03,2023-07-19,Lastschrift,Bezahlt,HR,EUR
FTfb79bc5e,SO218b2082,Cfa474de8,2024-04-11,2024-05-11,116.44,2024-06-10,Kreditkarte,Bezahlt,Einkauf,EUR
FTc9aaac9f,SO091b00a3,C6e1dd11f,2024-04-16,2024-05-31,1684.93,2024-06-10,Kreditkarte,Bezahlt,IT,EUR
FTe1e56efb,SOd5b82da8,C303ae767,2024-11-06,2024-12-21,4355.64,2024-12-21,Kreditkarte,Ausstehend,Vertrieb,EUR
FT8acb26ce,SO5552b16b,C9f9d1595,2024-04-25,2024-04-20,6933.29,2024-04-30,Überweisung,Bezahlt,Produktion,EUR
FT83f848d2,SO237c0b52,C38361d92,2023-05-02,2023-06-16,3296.29,2023-07-01,Lastschrift,Bezahlt,Vertrieb,EUR
