transaction_id,product_id,transaction_type,quantity,transaction_date,unit_cost,location,reference_document,status
Tfb0370e3,Pdae71328,Retoure,2,2024-12-23 00:54:21,619.927,Außenlager,REF344734,Geplant
T569e1a34,Pb1eb6aa3,Retoure,3,2024-03-29 21:55:09,197.50499999999997,Außenlager,REF639703,Geplant
T8473c7d0,Pa7ae716f,Ausgang,-13,2024-03-21 18:11:42,9.296,Retouren,REF130711,In Bearbeitung
T22eac34b,P60295ad9,Bestandskorrektur,-4,2024-08-16 07:17:09,276.493,Retouren,REF564439,Geplant
Ta88bb16f,Paa15aa91,Ausgang,-6,2023-04-13 21:57:50,136.325,Hauptlager,REF607383,In Bearbeitung
Tccdd2392,Pcd326c9b,Ausgang,-1,2024-01-20 10:39:30,547.904,Versand,REF650573,Abgeschlossen
T49e5dfe4,Pafb5ceb2,Retoure,4,2023-07-07 01:14:08,66.955,Außenlager,REF240467,In Bearbeitung
T5e5a29d6,Pa99221e5,Retoure,1,2023-07-30 10:08:50,18.494,Retouren,REF282993,In Bearbeitung
T78551a74,P8af6ce4c,Eingang,41,2023-03-31 22:55:12,5.718999999999999,Außenlager,REF564001,Abgeschlossen
Tf45e62fb,P522845b5,Bestandskorrektur,-2,2023-05-07 04:13:29,54.43899999999999,Hauptlager,REF178490,Abgeschlossen
Tef78b4bc,P7326f7f4,Bestandskorrektur,-1,2024-04-28 22:47:46,30.205,Retouren,REF348831,Geplant
T47b1c5fc,P6e8901a4,Ausgang,-9,2023-11-06 22:53:08,113.00099999999999,Versand,REF677329,Abgeschlossen
T760a52c5,P80238d20,Retoure,3,2023-05-19 01:34:27,905.261,Hauptlager,REF237793,Abgeschlossen
T82ecce2d,P77772f74,Eingang,10,2023-10-10 21:18:42,48.811,Retouren,REF96299,Abgeschlossen
Ta840ae7f,P681c50d2,Bestandskorrektur,5,2024-08-10 07:17:01,629.3069999999999,Außenlager,REF930400,Abgeschlossen
Te0d42ba2,P6d3e39ee,Eingang,33,2024-12-08 02:43:32,725.8089999999999,Retouren,REF423209,Geplant
T51d0b0d7,Pdf9aaa73,Eingang,33,2024-03-17 14:41:58,760.011,Retouren,REF31886,Geplant
T9094d301,Pd8ee6a2b,Ausgang,-13,2024-07-13 01:56:52,20.544999999999998,Retouren,REF381178,In Bearbeitung
Tae903f5c,P2be52bb7,Ausgang,-5,2023-06-26 23:44:44,855.351,Außenlager,REF434875,Abgeschlossen
Tc8303814,,Eingang,41,2023-09-14 06:43:46,,Hauptlager,REF106659,In Bearbeitung
T126433d5,Pb2f63edd,Ausgang,-4,2023-11-25 01:35:55,46.305,Versand,REF472464,Geplant
T33c23e4c,P6e01d9a3,Eingang,54,2024-03-21 18:49:39,25.291,Versand,REF325178,In Bearbeitung
T3f274f40,Pb1d42b13,Bestandskorrektur,0,2024-12-07 03:45:46,99.67999999999999,Versand,REF131643,Abgeschlossen
