order_id,product_id,quantity,unit_price,discount,line_total
SO74463da3,P7e945270,4,106.34,0.1,382.83
SO74463da3,P8b160812,4,14.48,0.0,57.92
SO74463da3,Pf750a342,3,26.02,0.05,74.16
SO500e91ef,P71923486,5,119.3,0.0,596.5
SO500e91ef,P2c5c4414,3,949.89,0.05,2707.19
SO500e91ef,P55e4365b,7,734.99,0.0,5144.95
SO500e91ef,P33796485,9,158.18,0.0,1423.62
SO500e91ef,Pc7eb56da,7,504.09,0.05,3352.2
SO79d3c1a2,Pededdd25,6,405.59,0.1,2190.19
SO79d3c1a2,Pdbd241d0,6,118.19,0.0,709.11
SO7dc2686b,P80238d20,9,1293.23,0.1,10475.16
SO7dc2686b,P45a3e9ae,6,15.29,0.0,91.74
SO7dc2686b,Pdab1267e,10,225.98,0.1,2033.82
SO7dc2686b,P309cbd26,2,141.45,0.0,282.9
SO44f5a450,P9316c89b,5,265.48,0.1,1194.66
SO44f5a450,Pde32edf4,4,49.43,0.05,187.83
SO44f5a450,P6e8901a4,1,160.93,0.0,160.93
SO44f5a450,P258ec8b0,6,163.29,0.1,881.77
SOfc039f97,P91c57b81,3,821.44,0.0,2464.32
SOfc039f97,P7834e026,4,412.5,0.0,1650.0
SO8e194864,P5c3dbd2c,2,221.39,0.0,442.78
SO8e194864,P32e7cdce,10,1529.68,0.0,15296.8
SO8e194864,P80238d20,7,1413.77,0.05,9401.6
SO8e194864,P37a0efc6,8,54.79,0.0,438.32
SO8e194864,P7834e026,3,412.5,0.0,1237.5
SO33ca7d1b,P31008989,6,1020.53,0.0,6123.18
SO451ba8ee,Pde32edf4,3,49.43,0.0,148.29
SO451ba8ee,P0260b04c,5,52.64,0.0,263.2
SO39b2ece6,P71923486,3,119.3,0.0,357.9
SO39b2ece6,P55e4365b,10,717.08,0.1,6453.72
SO39b2ece6,Pfbad365e,4,857.42,0.1,3086.71
SO39b2ece6,Pdb48c9ee,6,149.3,0.05,851.01
SO39b2ece6,P2486f730,1,32.42,0.05,30.8
SO218b2082,P7e945270,1,116.44,0.0,116.44
SO091b00a3,Pf4b7500e,1,214.7,0.0,214.7
SO091b00a3,Pe93cc4c1,4,26.2,0.0,104.81
SO091b00a3,Pe284be6f,5,192.48,0.0,962.4
SO091b00a3,Pe940f056,10,44.78,0.1,403.02
SOd5b82da8,P6bc3575d,9,483.96,0.0,4355.64
SO5552b16b,P5aa6cacb,7,1039.1,0.05,6910.01
SO5552b16b,P8af6ce4c,3,8.17,0.05,23.28
SO237c0b52,Pb880a595,2,303.7,0.0,607.4
SO237c0b52,Pb1eb6aa3,6,282.15,0.0,1692.9
SO237c0b52,P71923486,9,119.3,0.1,966.33
SO237c0b52,P7af6bba0,2,15.61,0.05,29.66
SOeac0aee5,P5b233719,4,43.37,0.0,173.48
SOeac0aee5,Pb880a595,4,303.7,0.05,1154.06
SOeac0aee5,P7834e026,9,412.5,0.1,3341.25
SOeac0aee5,P1ed0e77b,2,24.93,0.05,47.37
SOa5ac0744,Pb880a595,5,303.7,0.05,1442.58
SOa1f92c0b,P58d33e21,6,542.48,0.1,2929.39
SOa1f92c0b,Pb702965e,9,332.28,0.0,2990.52
SO384d8573,P6e8901a4,9,155.65,0.0,1400.86
SO384d8573,P02cf2087,1,663.35,0.05,630.18
SO384d8573,P9da815f8,10,19.82,0.0,198.2
SO384d8573,Pb1d42b13,9,142.4,0.0,1281.6
SO384d8573,P681c50d2,3,861.92,0.0,2585.75
SOb2bddf9b,P33796485,5,160.85,0.0,804.23
SOb2bddf9b,Pb880a595,9,303.7,0.0,2733.3
SOb2bddf9b,P059dae10,10,953.58,0.1,8582.22
SOb2bddf9b,P5aa6cacb,2,1039.1,0.1,1870.38
SO7551af30,P0260b04c,1,52.21,0.0,52.21
SOe90c3fc7,P5b233719,10,43.37,0.05,412.01
SOe90c3fc7,P059dae10,10,953.58,0.1,8582.22
SOe90c3fc7,P02cf2087,4,659.04,0.0,2636.15
SOe90c3fc7,P51bcf5d2,7,7.91,0.0,55.34
SO2bc5f16d,P31008989,8,974.05,0.0,7792.37
SOc0eae3cf,P7326f7f4,1,43.15,0.0,43.15
SOc0eae3cf,Pbe069892,2,68.39,0.0,136.78
SOc0eae3cf,P32e7cdce,3,1529.68,0.0,4589.04
SOc0eae3cf,Pb1d42b13,7,140.24,0.05,932.6
SOc0eae3cf,P7834e026,5,412.5,0.0,2062.5
SO9c01452f,Pf750a342,4,26.02,0.0,104.08
SO8b5012f4,P8af6ce4c,1,8.56,0.1,7.7
SO8b5012f4,P309cbd26,5,141.45,0.0,707.25
SO8b5012f4,P64ecb39d,8,678.21,0.0,5425.68
SO2dcff1d5,Pa8d55241,6,256.17,0.0,1536.99
SOc55cf9c2,Pc7eb56da,3,504.09,0.0,1512.27
SOc55cf9c2,Pe93cc4c1,9,26.91,0.0,242.19
SOa8835edb,P309cbd26,1,141.45,0.0,141.45
SOa8835edb,P2be52bb7,6,1221.93,0.0,7331.58
SOa8835edb,P681c50d2,3,899.01,0.0,2697.03
SOa8835edb,P2486f730,2,30.54,0.0,61.08
SO427e3b95,Pe93cc4c1,9,26.91,0.1,217.97
SOa748ad08,P5b233719,6,43.37,0.1,234.2
SOa748ad08,Pe940f056,4,44.78,0.1,161.21
SOa748ad08,P309cbd26,5,141.45,0.0,707.25
SOa748ad08,P58d33e21,9,542.48,0.1,4394.09
SOc3c3fd78,P0fb2db2b,6,298.38,0.0,1790.28
SOc3c3fd78,P2be52bb7,2,1221.93,0.05,2321.67
SOc3c3fd78,P37a1cc45,1,37.45,0.1,33.71
SOe2614fd6,P1ed0e77b,5,25.94,0.05,123.2
SOe2614fd6,P768564ac,1,150.16,0.05,142.65
SOe2614fd6,Pdae71328,1,885.61,0.0,885.61
SOe2614fd6,P5aa6cacb,4,1039.1,0.0,4156.4
SO4e3b589b,P9316c89b,6,265.48,0.0,1592.88
SO53005f93,P6e8901a4,2,161.43,0.0,322.86
SOc5a0b881,P266b08a1,2,24.23,0.0,48.46
SOc5a0b881,Pdf9aaa73,3,1085.73,0.1,2931.47
SOe0df2fd4,Pd8ee6a2b,1,26.53,0.0,26.53
SOe0df2fd4,Pf4b7500e,5,214.7,0.0,1073.5
SOe0df2fd4,P32e7cdce,9,1529.68,0.05,13078.76
SOe0df2fd4,P499a265a,9,162.07,0.0,1458.59
SOe0df2fd4,Pdb48c9ee,8,149.3,0.0,1194.4
SO8d2f1137,P4f5b8304,9,1889.73,0.1,15306.81
SO8d2f1137,P2486f730,4,30.54,0.0,122.16
SOcc95d7c0,Pe93cc4c1,2,26.91,0.0,53.82
SOcc95d7c0,Pededdd25,1,405.59,0.1,365.03
SOcc95d7c0,Pafb5ceb2,3,95.65,0.05,272.6
SO24aaa270,Pcd326c9b,8,782.72,0.05,5948.67
SO24aaa270,Pb0eb7e7d,6,483.35,0.0,2900.1
SO24aaa270,Pdae71328,7,885.61,0.0,6199.27
SO24aaa270,P6e8901a4,5,161.43,0.0,807.15
SO7dc94846,Peba8359e,3,330.78,0.05,942.72
SO7dc94846,Pa7d69348,7,89.61,0.1,564.54
SO7dc94846,Pf4b7500e,4,214.7,0.0,858.8
SO3523f38d,Paa15aa91,7,194.75,0.05,1295.09
SO3523f38d,P000b799a,3,34.16,0.0,102.48
