product_id,name,category,unit_price,min_stock,max_stock,supplier_id,lead_time_days
Pf750a342,USB-Sticks 214,Verbrauchsmaterial,26.02,26.0,220.0,S63c0171b,14
P2e3f25bf,Notizblöcke 752,Bürobedarf,39.24,34.0,383.0,Sd6df22cf,3
P6e01d9a3,Marker 487,Bürobedarf,36.13,16.0,468.0,Sc63cb157,27
Pd32e1690,Webcam 903,IT-Equipment,492.86,41.0,230.0,Saa9ba913,6
Pc7eb56da,Lampe 308,Möbel,504.09,16.0,138.0,Se0f5f772,26
Pd0fa0e9f,Lampe 342,Möbel,875.81,40.0,178.0,S49c7ce38,6
Pde32edf4,Ordner 723,Bürobedarf,49.43,40.0,327.0,Sc44a467d,17
Pd87e7c3b,Toner 177,Verbrauchsmaterial,109.32,35.0,329.0,S81b14279,29
P7326f7f4,Ordner 730,Bürobedarf,43.15,33.0,423.0,S4fdd61cb,17
P059dae10,Regal 312,Möbel,953.58,36.0,160.0,S472db4d1,28
P150673c5,Lampe 651,Möbel,984.52,31.0,451.0,Sfa300343,7
P984784d6,Reinigungsmittel 111,Verbrauchsmaterial,26.16,33.0,433.0,S132b5c3e,8
Pa7d69348,USB-Sticks 652,Verbrauchsmaterial,89.61,14.0,104.0,S586e0cb6,25
P2486f730,Papier 556,Bürobedarf,30.54,29.0,465.0,S13573d1b,13
P64ecb39d,Lampe 236,Möbel,678.21,18.0,297.0,Sca95d104,24
P8af6ce4c,Stifte 388,Bürobedarf,8.17,37.0,409.0,Sd6a5a5db,14
P681c50d2,Schrank 688,Möbel,899.01,27.0,286.0,S130e2703,17
P1ab20abf,Webcam 621,IT-Equipment,384.67,28.0,319.0,Sc02c2e44,19
Pededdd25,Dockingstation 315,IT-Equipment,405.59,13.0,277.0,S14fc1fae,26
Pb1d42b13,Dockingstation 186,IT-Equipment,142.4,21.0,373.0,S6d6b9648,13
P71923486,Druckerpatrone 636,Verbrauchsmaterial,119.3,20.0,232.0,Sc6310419,21
Pafb5ceb2,Druckerpatrone 801,Verbrauchsmaterial,95.65,35.0,178.0,S467ff2de,10
P499a265a,Schreibtisch 524,Möbel,156.56,,,,29
P5b233719,Stifte 149,Bürobedarf,43.37,38.0,297.0,Sdd8d7d22,22
Peba8359e,Router 607,IT-Equipment,330.78,23.0,415.0,S6b7fc675,12
Pbe069892,Batterien 421,Verbrauchsmaterial,67.45,40.0,433.0,S9091e1cc,22
Pdae71328,Bürostuhl 536,Möbel,885.61,29.0,395.0,Sfffeb360,30
Pdf9aaa73,Drucker 340,Elektronik,1085.73,25.0,377.0,Sd48f2b6e,28
Pe5a125a2,ThinkPad 396,Elektronik,1174.6,,,,12
P0260b04c,Batterien 685,Verbrauchsmaterial,52.64,48.0,498.0,Sc7e512d4,19
Pbbae2dd5,Kabel 533,IT-Equipment,479.25,44.0,368.0,S05800015,30
P02cf2087,Monitor 451,Elektronik,663.35,,,,14
Pe284be6f,Toner 615,Verbrauchsmaterial,192.48,46.0,426.0,S3041a2aa,10
P7af6bba0,Papier 464,Bürobedarf,15.61,26.0,350.0,Se780509b,5
P23dd0eb5,Toner 788,Verbrauchsmaterial,38.83,,,,8
P5c3dbd2c,Regal 944,Möbel,221.39,20.0,453.0,S114f312e,21
P98c0192a,Regal 613,Möbel,217.16,22.0,374.0,S10fb076b,21
Pf4b7500e,Lampe 519,Möbel,214.7,,,,3
P0a45676d,Regal 28,Möbel,780.51,16.0,172.0,S0f53bbfd,25
P1ed0e77b,Papier 104,Bürobedarf,24.93,40.0,414.0,S3fd27d07,29
Pf519fe1a,Kabel 480,IT-Equipment,302.01,27.0,337.0,S2d4c54ea,25
P15cb23c4,Batterien 84,Verbrauchsmaterial,117.22,43.0,396.0,Saf9be882,22
P77772f74,Webcam 645,IT-Equipment,69.73,29.0,302.0,S866bde1f,7
Pb1eb6aa3,Webcam 488,IT-Equipment,282.15,26.0,142.0,S6e3e4cd5,5
P7834e026,Switch 19,IT-Equipment,412.5,40.0,372.0,S5fcc35d2,25
P80238d20,Latitude 278,Elektronik,1293.23,14.0,360.0,S1553d6af,13
P768564ac,Toner 29,Verbrauchsmaterial,150.16,42.0,482.0,S321619bb,5
Pb0eb7e7d,Kabel 334,IT-Equipment,483.35,,,,20
P6bc3575d,Webcam 711,IT-Equipment,483.96,13.0,484.0,Sbb669848,11
P35f6e13d,Kabel 218,IT-Equipment,440.48,20.0,474.0,Se3da84c3,19
Paa15aa91,USB-Sticks 521,Verbrauchsmaterial,194.75,18.0,186.0,S6412cf9e,16
P5aa6cacb,Monitor 127,Elektronik,1039.1,40.0,367.0,S822fd11b,9
P1e256c76,Lampe 714,Möbel,959.16,39.0,193.0,S344c9839,7
Pfd577618,Toner 43,Verbrauchsmaterial,139.47,20.0,121.0,Sb05d8abc,29
P4f5b8304,ProBook 364,Elektronik,1889.73,10.0,243.0,S358f3969,13
P8b160812,Notizblöcke 908,Bürobedarf,14.48,,,,5
Pa9b1f4ad,Ordner 83,Bürobedarf,23.02,30.0,218.0,Sd8d5e4ae,19
Pa7ae716f,Ordner 284,Bürobedarf,13.28,12.0,272.0,S1eebac4a,11
P309cbd26,Webcam 572,IT-Equipment,141.45,50.0,295.0,Sfd52c4ed,20
P21e20ef8,Schreibtisch 322,Möbel,325.42,,,,3
P6e8901a4,Schrank 738,Möbel,161.43,40.0,122.0,Safbb11ce,6
P522845b5,Druckerpatrone 558,Verbrauchsmaterial,77.77,31.0,385.0,Sd73e1d96,28
P58d33e21,Regal 95,Möbel,542.48,20.0,365.0,S64670d71,30
Pe704ab75,Schreibtisch 972,Möbel,418.22,33.0,394.0,S6f0505c7,9
P37a1cc45,Notizblöcke 516,Bürobedarf,37.45,41.0,230.0,Sf91b634e,8
P5e8909d4,Latitude 545,Elektronik,1155.01,,,,8
P60295ad9,Webcam 895,IT-Equipment,394.99,24.0,343.0,S949a1de7,23
P32e7cdce,ProBook 830,Elektronik,1529.68,33.0,349.0,Sa129bd2a,21
P6d3e39ee,ThinkPad 676,Elektronik,1036.87,27.0,426.0,Seff372c9,1
Pa8d55241,Kabel 683,IT-Equipment,251.11,35.0,380.0,S25f5201d,2
Pe940f056,Reinigungsmittel 38,Verbrauchsmaterial,44.78,40.0,385.0,S741969f8,23
P37a0efc6,Toner 735,Verbrauchsmaterial,54.79,,,,21
P51bcf5d2,Papier 559,Bürobedarf,8.42,15.0,480.0,S28de0237,27
Pdab1267e,Switch 938,IT-Equipment,225.98,44.0,115.0,S474b6022,5
P55e4365b,Schreibtisch 598,Möbel,717.08,48.0,287.0,S7571269f,4
P2c5c4414,Bürostuhl 930,Möbel,949.89,,,,9
P9da815f8,Ordner 946,Bürobedarf,19.82,40.0,433.0,Sb471fbde,4
Pfbad365e,Latitude 509,Elektronik,857.42,17.0,372.0,Sddd084e1,11
P31008989,ProBook 194,Elektronik,1020.53,30.0,346.0,Se9a99755,25
Pa99221e5,Notizblöcke 585,Bürobedarf,26.42,32.0,195.0,Sd4b6e4c2,15
P266b08a1,Papier 907,Bürobedarf,24.23,48.0,376.0,S19c8a506,11
Pcd326c9b,Lampe 391,Möbel,782.72,,,,26
P7e945270,Toner 91,Verbrauchsmaterial,116.44,19.0,353.0,S70621c94,17
P7e94cb04,Latitude 4,Elektronik,1869.13,38.0,351.0,S9533c3ce,24
P9316c89b,Bürostuhl 352,Möbel,265.48,40.0,193.0,S832baff3,15
Pd8ee6a2b,Marker 23,Bürobedarf,29.35,31.0,292.0,S66927c9a,12
Pdb48c9ee,Router 589,IT-Equipment,149.3,49.0,430.0,S66d968ee,26
P000b799a,Ordner 765,Bürobedarf,34.16,44.0,348.0,Sbe53b9de,21
Pdbd241d0,Batterien 461,Verbrauchsmaterial,127.58,50.0,410.0,S17697cb7,25
Pb702965e,Router 410,IT-Equipment,332.28,11.0,134.0,S2c6828d9,13
P2be52bb7,Drucker 776,Elektronik,1221.93,48.0,188.0,Sccb8ff36,29
Pe93cc4c1,Marker 921,Bürobedarf,26.91,34.0,140.0,S18733e8f,25
Pb2f63edd,Reinigungsmittel 297,Verbrauchsmaterial,66.15,23.0,472.0,S9adfc5b5,4
P258ec8b0,Batterien 511,Verbrauchsmaterial,163.29,15.0,385.0,Sbd62f0fd,16
P984b9129,Bürostuhl 321,Möbel,838.48,18.0,132.0,S4d581e4f,4
P33796485,Dockingstation 181,IT-Equipment,158.18,20.0,319.0,S33915bc0,7
P0fb2db2b,Kabel 343,IT-Equipment,298.38,37.0,170.0,Sd29a3049,9
P45a3e9ae,Papier 575,Bürobedarf,15.29,28.0,412.0,S65848200,27
Pb880a595,Schrank 619,Möbel,303.7,35.0,409.0,S807e8713,9
P91c57b81,Schreibtisch 549,Möbel,821.44,,,,5
